window_id,pl_fwd_count,pl_bwd_count,pl_len_fwd_total,pl_len_bwd_total,flow_fwd_count,flow_bwd_count,timestamp,label
57700049,[   0.    0. 1000. 1100. 1600. 1350.],[   0.    0. 1000. 1100. 1600. 1350.],[    0.     0. 39750. 43726. 63601. 53664.],[     0.      0.  84750.  93226. 135601. 114414.],[0. 0. 2. 4. 5. 5.],[0. 0. 2. 4. 5. 5.],2024-11-07 17:44:30,dns_attack
57700050,[ 750. 1100. 1100.  850. 1350.  850.],[ 750. 1100. 1100.  850. 1350.  850.],[29813. 43726. 43725. 33788. 53663. 33788.],[ 63563.  93226.  93225.  72038. 114413.  72038.],[2. 4. 3. 3. 4. 3.],[2. 4. 3. 3. 4. 3.],2024-11-07 17:45:00,dns_attack
57700051,[ 950. 1100.  850.  850. 1100. 1450.],[ 950. 1100.  850.  850. 1100. 1450.],[37763. 43726. 33788. 33788. 43726. 57638.],[ 80513.  93226.  72038.  72038.  93226. 122888.],[4. 4. 3. 3. 4. 5.],[4. 4. 3. 3. 4. 5.],2024-11-07 17:45:30,dns_attack
57700052,[1100.  850.  750.  950.  850.  950.],[1100.  850.  750.  950.  850.  950.],[43726. 33788. 29813. 37763. 33788. 37763.],[93226. 72038. 63563. 80513. 72038. 80513.],[4. 3. 2. 4. 3. 4.],[4. 3. 2. 4. 3. 4.],2024-11-07 17:46:00,dns_attack
57700053,[1350. 1350.  850. 1700.  600. 1350.],[1350. 1350.  850. 1700.  600. 1350.],[53663. 53663. 33788. 67576. 23850. 53663.],[114413. 114413.  72038. 144076.  50850. 114413.],[4. 4. 3. 6. 2. 4.],[4. 4. 3. 6. 2. 4.],2024-11-07 17:46:30,dns_attack
57700054,[1100.  850. 1100. 1100. 1450. 1600.],[1100.  850. 1100. 1100. 1450. 1600.],[43726. 33788. 43726. 43726. 57638. 63601.],[ 93226.  72038.  93226.  93226. 122888. 135601.],[4. 3. 4. 4. 5. 5.],[4. 3. 4. 4. 5. 5.],2024-11-07 17:47:00,dns_attack
57700055,[ 700.  850. 1700.  250. 1450.  850.],[ 700.  850. 1700.  250. 1450.  850.],[27825. 33788. 67576.  9938. 57638. 33788.],[ 59325.  72038. 144076.  21188. 122888.  72038.],[3. 3. 6. 1. 5. 3.],[3. 3. 6. 1. 5. 3.],2024-11-07 17:47:30,dns_attack
57700056,[1350. 1100. 1352. 1100.  751. 1451.],[1350. 1100. 1350. 1100.  750. 1450.],[53663. 43726. 53731. 43726. 29845. 57670.],[114413.  93226. 114413.  93226.  63563. 122888.],[4. 4. 5. 4. 3. 6.],[4. 4. 5. 4. 2. 5.],2024-11-07 17:48:00,dns_attack
57700057,[ 851. 1201. 1450.  850. 1350.  850.],[ 850. 1200. 1450.  850. 1350.  850.],[33820. 47735. 57638. 33788. 53663. 33788.],[ 72038. 101701. 122888.  72038. 114413.  72038.],[4. 6. 5. 3. 4. 3.],[3. 6. 5. 3. 4. 3.],2024-11-07 17:48:30,dns_attack
57700058,[1600.  850.  600. 1200.  850.  950.],[1600.  850.  600. 1200.  850.  950.],[63601. 33788. 23850. 47701. 33788. 37763.],[135601.  72038.  50850. 101701.  72038.  80513.],[5. 3. 2. 5. 3. 4.],[5. 3. 2. 5. 3. 4.],2024-11-07 17:49:00,dns_attack
57700059,[ 950.  850. 1100. 1350.  950.  850.],[ 950.  850. 1100. 1350.  950.  850.],[37763. 33788. 43726. 53663. 37763. 33788.],[ 80513.  72038.  93226. 114413.  80513.  72038.],[4. 3. 4. 4. 4. 3.],[4. 3. 4. 4. 4. 3.],2024-11-07 17:49:30,dns_attack
57743351,[1674. 1653. 2252. 1847. 1660. 1679.],[1674. 1653. 2252. 1847. 1660. 1679.],[ 84942.  83937. 114267.  93738.  84265.  85189.],[160272. 158322. 215607. 176853. 158965. 160744.],[1644. 1627. 2172. 1783. 1609. 1629.],[1644. 1627. 2172. 1783. 1609. 1629.],2024-11-22 18:35:30,dns_attack
57743352,[1828. 2428. 1767. 2301. 3278. 2618.],[1828. 2428. 1767. 2301. 3278. 2618.],[ 92744. 123284.  89663. 116748. 166367. 132861.],[175004. 232544. 169178. 220293. 313877. 250671.],[1763. 2344. 1711. 2223. 3126. 2505.],[1763. 2344. 1711. 2223. 3126. 2505.],2024-11-22 18:36:00,dns_attack
57743353,[1875. 2121. 2556. 2297. 1696. 1653.],[1875. 2121. 2556. 2297. 1696. 1653.],[ 95149. 107666. 129707. 116645.  86043.  83891.],[179524. 203111. 244727. 219920. 162363. 158276.],[1814. 2049. 2461. 2221. 1655. 1622.],[1814. 2049. 2461. 2221. 1655. 1622.],2024-11-22 18:36:30,dns_attack
57743354,[2383. 2270. 1649. 1782. 2234. 2049.],[2383. 2270. 1649. 1782. 2232. 2047.],[120933. 115229.  83650.  90440. 113429. 103950.],[228168. 217289. 157855. 170540. 213715. 196001.],[2311. 2219. 1611. 1736. 2149. 1980.],[2311. 2219. 1611. 1736. 2149. 1980.],2024-11-22 18:37:00,dns_attack
57743355,[2369. 2146. 2031. 1626. 2057. 3267.],[2369. 2146. 2031. 1626. 2057. 3267.],[120208. 108879. 103093.  82524. 104435. 165762.],[226813. 205449. 194488. 155694. 197000. 312777.],[2297. 2089. 1983. 1591. 1999. 3137.],[2297. 2089. 1983. 1591. 1999. 3137.],2024-11-22 18:37:30,dns_attack
57743356,[1621. 1576. 2207. 2355. 2482. 1892.],[1621. 1576. 2203. 2338. 2482. 1914.],[ 82317.  79941. 112001. 119450. 126043.  96026.],[155262. 150861. 210948. 223776. 237643. 182200.],[1580. 1549. 2154. 2283. 2413. 1876.],[1580. 1549. 2154. 2283. 2413. 1876.],2024-11-22 18:38:00,dns_attack
