window_id,pl_fwd_count,pl_bwd_count,pl_len_fwd_total,pl_len_bwd_total,flow_fwd_count,flow_bwd_count,timestamp,label
57411864,[ 0.  0. 18.  0.  0.  0.],[ 0.  0. 18.  0.  0.  0.],[  0.   0. 961.   0.   0.   0.],[   0.    0. 2105.    0.    0.    0.],[0. 0. 9. 0. 0. 0.],[0. 0. 9. 0. 0. 0.],2024-07-30 16:12:00,dns
57622260,[1. 1. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[50. 50.  0.  0.  0.  0.],[111.   0.   0.   0.   0.   0.],[1. 1. 0. 0. 0. 0.],[1. 1. 0. 0. 0. 0.],2024-10-11 17:30:00,dns
57621913,[0. 0. 1. 1. 0. 0.],[0. 0. 1. 0. 0. 0.],[ 0.  0. 60. 60.  0.  0.],[  0.   0. 124.   0.   0.   0.],[0. 0. 1. 1. 0. 0.],[0. 0. 1. 1. 0. 0.],2024-10-11 14:36:30,dns
57622020,[ 0.  0. 18.  0.  0.  0.],[ 0.  0. 18.  0.  0.  0.],[  0.   0. 961.   0.   0.   0.],[   0.    0. 2105.    0.    0.    0.],[0. 0. 9. 0. 0. 0.],[0. 0. 9. 0. 0. 0.],2024-10-11 15:30:00,dns
57135286,[18.  0.  0.  0.  0.  0.],[18.  0.  0.  0.  0.  0.],[961.   0.   0.   0.   0.   0.],[2105.    0.    0.    0.    0.    0.],[9. 0. 0. 0. 0. 0.],[9. 0. 0. 0. 0. 0.],2024-04-25 15:23:00,dns
57135054,[4. 0. 0. 4. 0. 0.],[4. 0. 0. 4. 0. 0.],[126.   0.   0. 126.   0.   0.],[426.   0.   0. 426.   0.   0.],[2. 0. 0. 2. 0. 0.],[2. 0. 0. 2. 0. 0.],2024-04-25 13:27:00,dns
57521188,[0. 0. 0. 3. 3. 0.],[0. 0. 0. 3. 0. 0.],[  0.   0.   0. 149. 149.   0.],[  0.   0.   0. 332.   0.   0.],[0. 0. 0. 3. 3. 0.],[0. 0. 0. 3. 3. 0.],2024-09-06 15:14:00,dns
57521173,[0. 2. 2. 0. 0. 0.],[0. 2. 0. 0. 0. 0.],[ 0. 97. 97.  0.  0.  0.],[  0. 222.   0.   0.   0.   0.],[0. 2. 2. 0. 0. 0.],[0. 2. 2. 0. 0. 0.],2024-09-06 15:06:30,dns
57521211,[0. 2. 0. 0. 0. 0.],[0. 2. 0. 0. 0. 0.],[  0. 111.   0.   0.   0.   0.],[  0. 329.   0.   0.   0.   0.],[0. 1. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],2024-09-06 15:25:30,dns
57521243,[0. 2. 2. 0. 0. 0.],[0. 2. 0. 0. 0. 0.],[  0. 100. 100.   0.   0.   0.],[  0. 220.   0.   0.   0.   0.],[0. 2. 2. 0. 0. 0.],[0. 2. 2. 0. 0. 0.],2024-09-06 15:41:30,dns
57521245,[0. 0. 1. 0. 0. 1.],[0. 0. 1. 0. 0. 1.],[ 0.  0. 55.  0.  0. 58.],[  0.   0. 271.   0.   0. 250.],[0. 0. 1. 0. 0. 1.],[0. 0. 1. 0. 0. 1.],2024-09-06 15:42:30,dns
57521082,[0. 4. 0. 0. 0. 0.],[0. 4. 0. 0. 0. 0.],[  0. 195.   0.   0.   0.   0.],[  0. 535.   0.   0.   0.   0.],[0. 2. 0. 0. 0. 0.],[0. 2. 0. 0. 0. 0.],2024-09-06 14:21:00,dns
57521148,[0. 0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 1.],[ 0.  0.  0.  0.  0. 49.],[  0.   0.   0.   0.   0. 112.],[0. 0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 1.],2024-09-06 14:54:00,dns
57521149,[3. 2. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0.],[159. 110.   0.   0.   0.   0.],[238.   0.   0.   0.   0.   0.],[3. 2. 0. 0. 0. 0.],[3. 2. 0. 0. 0. 0.],2024-09-06 14:54:30,dns
57521162,[0. 7. 7. 0. 0. 0.],[0. 7. 0. 0. 0. 0.],[  0. 369. 369.   0.   0.   0.],[  0. 963.   0.   0.   0.   0.],[0. 7. 7. 0. 0. 0.],[0. 7. 7. 0. 0. 0.],2024-09-06 15:01:00,dns_attack
57521140,[1. 1. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[65. 65.  0.  0.  0.  0.],[133.   0.   0.   0.   0.   0.],[1. 1. 0. 0. 0. 0.],[1. 1. 0. 0. 0. 0.],2024-09-06 14:50:00,dns
57521238,[0. 0. 0. 0. 2. 2.],[0. 0. 0. 0. 2. 0.],[ 0.  0.  0.  0. 98. 98.],[  0.   0.   0.   0. 187.   0.],[0. 0. 0. 0. 2. 2.],[0. 0. 0. 0. 2. 2.],2024-09-06 15:39:00,dns
57521220,[2. 2. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0.],[98. 98.  0.  0.  0.  0.],[224.   0.   0.   0.   0.   0.],[2. 2. 0. 0. 0. 0.],[2. 2. 0. 0. 0. 0.],2024-09-06 15:30:00,dns
57521247,[0. 0. 0. 3. 3. 0.],[0. 0. 0. 3. 0. 0.],[  0.   0.   0. 147. 147.   0.],[  0.   0.   0. 336.   0.   0.],[0. 0. 0. 3. 3. 0.],[0. 0. 0. 3. 3. 0.],2024-09-06 15:43:30,dns
57521204,[0. 2. 2. 0. 0. 0.],[0. 2. 0. 0. 0. 0.],[  0. 104. 104.   0.   0.   0.],[  0. 231.   0.   0.   0.   0.],[0. 2. 2. 0. 0. 0.],[0. 2. 2. 0. 0. 0.],2024-09-06 15:22:00,dns
57521254,[0. 0. 0. 1. 1. 0.],[0. 0. 0. 1. 0. 0.],[ 0.  0.  0. 55. 55.  0.],[  0.   0.   0. 119.   0.   0.],[0. 0. 0. 1. 1. 0.],[0. 0. 0. 1. 1. 0.],2024-09-06 15:47:00,dns
57521137,[0. 0. 0. 3. 3. 0.],[0. 0. 0. 3. 0. 0.],[  0.   0.   0. 143. 143.   0.],[  0.   0.   0. 328.   0.   0.],[0. 0. 0. 3. 3. 0.],[0. 0. 0. 3. 3. 0.],2024-09-06 14:48:30,dns
57521276,[0. 0. 0. 0. 3. 3.],[0. 0. 0. 0. 3. 0.],[  0.   0.   0.   0. 138. 138.],[  0.   0.   0.   0. 523.   0.],[0. 0. 0. 0. 3. 3.],[0. 0. 0. 0. 3. 3.],2024-09-06 15:58:00,dns
57521229,[0. 0. 1. 1. 0. 0.],[0. 0. 1. 0. 0. 0.],[ 0.  0. 47. 47.  0.  0.],[  0.   0. 108.   0.   0.   0.],[0. 0. 1. 1. 0. 0.],[0. 0. 1. 1. 0. 0.],2024-09-06 15:34:30,dns
57521102,[0. 0. 0. 1. 1. 0.],[0. 0. 0. 1. 0. 0.],[ 0.  0.  0. 52. 52.  0.],[  0.   0.   0. 113.   0.   0.],[0. 0. 0. 1. 1. 0.],[0. 0. 0. 1. 1. 0.],2024-09-06 14:31:00,dns
57521182,[2. 2. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0.],[94. 94.  0.  0.  0.  0.],[216.   0.   0.   0.   0.   0.],[2. 2. 0. 0. 0. 0.],[2. 2. 0. 0. 0. 0.],2024-09-06 15:11:00,dns
57521265,[0. 0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 1.],[ 0.  0.  0.  0.  0. 49.],[  0.   0.   0.   0.   0. 193.],[0. 0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 1.],2024-09-06 15:52:30,dns
57521266,[1. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[49.  0.  0.  0.  0.  0.],[0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],2024-09-06 15:53:00,dns
57521098,[2. 2. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0.],[97. 97.  0.  0.  0.  0.],[222.   0.   0.   0.   0.   0.],[2. 2. 0. 0. 0. 0.],[2. 2. 0. 0. 0. 0.],2024-09-06 14:29:00,dns
57521099,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 0.],[  0.   0.   0.   0.   0. 194.],[0. 0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 1.],2024-09-06 14:29:30,dns
57521100,[1. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[58.  0.  0.  0.  0.  0.],[0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],2024-09-06 14:30:00,dns
57521252,[3. 3. 0. 0. 0. 0.],[3. 0. 0. 0. 0. 0.],[174. 174.   0.   0.   0.   0.],[571.   0.   0.   0.   0.   0.],[3. 3. 0. 0. 0. 0.],[3. 3. 0. 0. 0. 0.],2024-09-06 15:46:00,dns
57521128,[0. 0. 0. 0. 1. 1.],[0. 0. 0. 0. 1. 0.],[ 0.  0.  0.  0. 47. 47.],[  0.   0.   0.   0. 108.   0.],[0. 0. 0. 0. 1. 1.],[0. 0. 0. 0. 1. 1.],2024-09-06 14:44:00,dns
